Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.487563dB, Best: 1.487563dB
Iteration 2, Objective: 0.734390dB, Best: 0.734390dB
Iteration 3, Objective: 0.370510dB, Best: 0.370510dB
Iteration 4, Objective: 0.282191dB, Best: 0.282191dB
Iteration 5, Objective: 0.259745dB, Best: 0.259745dB
Iteration 6, Objective: 0.182700dB, Best: 0.182700dB
Iteration 7, Objective: 0.158096dB, Best: 0.158096dB
Iteration 8, Objective: 0.126008dB, Best: 0.126008dB
Iteration 9, Objective: 0.113402dB, Best: 0.113402dB
Iteration 10, Objective: 0.090458dB, Best: 0.090458dB
Iteration 11, Objective: 0.081499dB, Best: 0.081499dB
Iteration 12, Objective: 0.069974dB, Best: 0.069974dB
Iteration 13, Objective: 0.064149dB, Best: 0.064149dB
Iteration 14, Objective: 0.057845dB, Best: 0.057845dB
Iteration 15, Objective: 0.053008dB, Best: 0.053008dB
Iteration 16, Objective: 0.047612dB, Best: 0.047612dB
Iteration 17, Objective: 0.043218dB, Best: 0.043218dB
Iteration 18, Objective: 0.040250dB, Best: 0.040250dB
Iteration 19, Objective: 0.038017dB, Best: 0.038017dB
Iteration 20, Objective: 0.035420dB, Best: 0.035420dB
Iteration 21, Objective: 0.031468dB, Best: 0.031468dB
Iteration 22, Objective: 0.029028dB, Best: 0.029028dB
Iteration 23, Objective: 0.027069dB, Best: 0.027069dB
Iteration 24, Objective: 0.025157dB, Best: 0.025157dB
Iteration 25, Objective: 0.023628dB, Best: 0.023628dB
Iteration 26, Objective: 0.022162dB, Best: 0.022162dB
Iteration 27, Objective: 0.020096dB, Best: 0.020096dB
Iteration 28, Objective: 0.018379dB, Best: 0.018379dB
Iteration 29, Objective: 0.016499dB, Best: 0.016499dB
Iteration 30, Objective: 0.014734dB, Best: 0.014734dB
Iteration 31, Objective: 0.013590dB, Best: 0.013590dB
Iteration 32, Objective: 0.012696dB, Best: 0.012696dB
Iteration 33, Objective: 0.012183dB, Best: 0.012183dB
Iteration 34, Objective: 0.011670dB, Best: 0.011670dB
Iteration 35, Objective: 0.011442dB, Best: 0.011442dB
Iteration 36, Objective: 0.010999dB, Best: 0.010999dB
Iteration 37, Objective: 0.010638dB, Best: 0.010638dB
Iteration 38, Objective: 0.009917dB, Best: 0.009917dB
Iteration 39, Objective: 0.009196dB, Best: 0.009196dB
Iteration 40, Objective: 0.008239dB, Best: 0.008239dB
Iteration 41, Objective: 0.007452dB, Best: 0.007452dB
Iteration 42, Objective: 0.007095dB, Best: 0.007095dB
Iteration 43, Objective: 0.006905dB, Best: 0.006905dB
Iteration 44, Objective: 0.006749dB, Best: 0.006749dB
Iteration 45, Objective: 0.006722dB, Best: 0.006722dB
Iteration 46, Objective: 0.006649dB, Best: 0.006649dB
Iteration 47, Objective: 0.006618dB, Best: 0.006618dB
Iteration 48, Objective: 0.006569dB, Best: 0.006569dB
Iteration 49, Objective: 0.006484dB, Best: 0.006484dB
Iteration 50, Objective: 0.006392dB, Best: 0.006392dB
Iteration 51, Objective: 0.006326dB, Best: 0.006326dB
Iteration 52, Objective: 0.006228dB, Best: 0.006228dB
Iteration 53, Objective: 0.006156dB, Best: 0.006156dB
Iteration 54, Objective: 0.006050dB, Best: 0.006050dB
Iteration 55, Objective: 0.005881dB, Best: 0.005881dB
Iteration 56, Objective: 0.005660dB, Best: 0.005660dB
Iteration 57, Objective: 0.005398dB, Best: 0.005398dB
Iteration 58, Objective: 0.005120dB, Best: 0.005120dB
Iteration 59, Objective: 0.004872dB, Best: 0.004872dB
Iteration 60, Objective: 0.004630dB, Best: 0.004630dB
Iteration 61, Objective: 0.004509dB, Best: 0.004509dB
Iteration 62, Objective: 0.004422dB, Best: 0.004422dB
Iteration 63, Objective: 0.004316dB, Best: 0.004316dB
Iteration 64, Objective: 0.004262dB, Best: 0.004262dB
Iteration 65, Objective: 0.004177dB, Best: 0.004177dB
Iteration 66, Objective: 0.004028dB, Best: 0.004028dB
Iteration 67, Objective: 0.003796dB, Best: 0.003796dB
Iteration 68, Objective: 0.003657dB, Best: 0.003657dB
Iteration 69, Objective: 0.003371dB, Best: 0.003371dB
Iteration 70, Objective: 0.003237dB, Best: 0.003237dB
Iteration 71, Objective: 0.003032dB, Best: 0.003032dB
Iteration 72, Objective: 0.002943dB, Best: 0.002943dB
Iteration 73, Objective: 0.002764dB, Best: 0.002764dB
Iteration 74, Objective: 0.002722dB, Best: 0.002722dB
Iteration 75, Objective: 0.002689dB, Best: 0.002689dB
Iteration 76, Objective: 0.002657dB, Best: 0.002657dB
Iteration 77, Objective: 0.002598dB, Best: 0.002598dB
Iteration 78, Objective: 0.002568dB, Best: 0.002568dB
