Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.324718dB, Best: 1.324718dB
Iteration 2, Objective: 1.283829dB, Best: 1.283829dB
Iteration 3, Objective: 0.766953dB, Best: 0.766953dB
Iteration 4, Objective: 0.720939dB, Best: 0.720939dB
Iteration 5, Objective: 0.386749dB, Best: 0.386749dB
Iteration 6, Objective: 0.304234dB, Best: 0.304234dB
Iteration 7, Objective: 0.263793dB, Best: 0.263793dB
Iteration 8, Objective: 0.261226dB, Best: 0.261226dB
Iteration 9, Objective: 0.229801dB, Best: 0.229801dB
Iteration 10, Objective: 0.213203dB, Best: 0.213203dB
Iteration 11, Objective: 0.175018dB, Best: 0.175018dB
Iteration 12, Objective: 0.174841dB, Best: 0.174841dB
Iteration 13, Objective: 0.170134dB, Best: 0.170134dB
Iteration 14, Objective: 0.155841dB, Best: 0.155841dB
Iteration 15, Objective: 0.149379dB, Best: 0.149379dB
Iteration 16, Objective: 0.148349dB, Best: 0.148349dB
Iteration 17, Objective: 0.138575dB, Best: 0.138575dB
Iteration 18, Objective: 0.133378dB, Best: 0.133378dB
Iteration 19, Objective: 0.127312dB, Best: 0.127312dB
Iteration 20, Objective: 0.125232dB, Best: 0.125232dB
Iteration 21, Objective: 0.120986dB, Best: 0.120986dB
Iteration 22, Objective: 0.118334dB, Best: 0.118334dB
Iteration 23, Objective: 0.117986dB, Best: 0.117986dB
Iteration 24, Objective: 0.117139dB, Best: 0.117139dB
Iteration 25, Objective: 0.115653dB, Best: 0.115653dB
Iteration 26, Objective: 0.114288dB, Best: 0.114288dB
Iteration 27, Objective: 0.114222dB, Best: 0.114222dB
Iteration 28, Objective: 0.113607dB, Best: 0.113607dB
Iteration 29, Objective: 0.113249dB, Best: 0.113249dB
Iteration 30, Objective: 0.112234dB, Best: 0.112234dB
Iteration 31, Objective: 0.111111dB, Best: 0.111111dB
Iteration 32, Objective: 0.110320dB, Best: 0.110320dB
Iteration 33, Objective: 0.109666dB, Best: 0.109666dB
Iteration 34, Objective: 0.108575dB, Best: 0.108575dB
Iteration 35, Objective: 0.108219dB, Best: 0.108219dB
Iteration 36, Objective: 0.105984dB, Best: 0.105984dB
Iteration 37, Objective: 0.104851dB, Best: 0.104851dB
Iteration 38, Objective: 0.103933dB, Best: 0.103933dB
Iteration 39, Objective: 0.102195dB, Best: 0.102195dB
Iteration 40, Objective: 0.100968dB, Best: 0.100968dB
Iteration 41, Objective: 0.099638dB, Best: 0.099638dB
Iteration 42, Objective: 0.098391dB, Best: 0.098391dB
Iteration 43, Objective: 0.097495dB, Best: 0.097495dB
Iteration 44, Objective: 0.096762dB, Best: 0.096762dB
Iteration 45, Objective: 0.095712dB, Best: 0.095712dB
Iteration 46, Objective: 0.094654dB, Best: 0.094654dB
Iteration 47, Objective: 0.094060dB, Best: 0.094060dB
Iteration 48, Objective: 0.093928dB, Best: 0.093928dB
Iteration 49, Objective: 0.093406dB, Best: 0.093406dB
Iteration 50, Objective: 0.092669dB, Best: 0.092669dB
