Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.298303dB, Best: 1.298303dB
Iteration 2, Objective: 1.277433dB, Best: 1.277433dB
Iteration 3, Objective: 0.886795dB, Best: 0.886795dB
Iteration 4, Objective: 0.879610dB, Best: 0.879610dB
Iteration 5, Objective: 0.762215dB, Best: 0.762215dB
Iteration 6, Objective: 0.622546dB, Best: 0.622546dB
Iteration 7, Objective: 0.537595dB, Best: 0.537595dB
Iteration 8, Objective: 0.426776dB, Best: 0.426776dB
Iteration 9, Objective: 0.371457dB, Best: 0.371457dB
Iteration 10, Objective: 0.308275dB, Best: 0.308275dB
Iteration 11, Objective: 0.253983dB, Best: 0.253983dB
Iteration 12, Objective: 0.222714dB, Best: 0.222714dB
Iteration 13, Objective: 0.195000dB, Best: 0.195000dB
Iteration 14, Objective: 0.181077dB, Best: 0.181077dB
Iteration 15, Objective: 0.170454dB, Best: 0.170454dB
Iteration 16, Objective: 0.168263dB, Best: 0.168263dB
Iteration 17, Objective: 0.158305dB, Best: 0.158305dB
Iteration 18, Objective: 0.150407dB, Best: 0.150407dB
Iteration 19, Objective: 0.147894dB, Best: 0.147894dB
Iteration 20, Objective: 0.145677dB, Best: 0.145677dB
Iteration 21, Objective: 0.138831dB, Best: 0.138831dB
Iteration 22, Objective: 0.137400dB, Best: 0.137400dB
Iteration 23, Objective: 0.134782dB, Best: 0.134782dB
Iteration 24, Objective: 0.128142dB, Best: 0.128142dB
Iteration 25, Objective: 0.126870dB, Best: 0.126870dB
Iteration 26, Objective: 0.126019dB, Best: 0.126019dB
Iteration 27, Objective: 0.123074dB, Best: 0.123074dB
Iteration 28, Objective: 0.121468dB, Best: 0.121468dB
Iteration 29, Objective: 0.120468dB, Best: 0.120468dB
Iteration 30, Objective: 0.119491dB, Best: 0.119491dB
Iteration 31, Objective: 0.118888dB, Best: 0.118888dB
Iteration 32, Objective: 0.118576dB, Best: 0.118576dB
Iteration 33, Objective: 0.117960dB, Best: 0.117960dB
Iteration 34, Objective: 0.117143dB, Best: 0.117143dB
Iteration 35, Objective: 0.116687dB, Best: 0.116687dB
Iteration 36, Objective: 0.115877dB, Best: 0.115877dB
Iteration 37, Objective: 0.114868dB, Best: 0.114868dB
Iteration 38, Objective: 0.114205dB, Best: 0.114205dB
Iteration 39, Objective: 0.113934dB, Best: 0.113934dB
Iteration 40, Objective: 0.113506dB, Best: 0.113506dB
Iteration 41, Objective: 0.113162dB, Best: 0.113162dB
Iteration 42, Objective: 0.112851dB, Best: 0.112851dB
Iteration 43, Objective: 0.112706dB, Best: 0.112706dB
Iteration 44, Objective: 0.111836dB, Best: 0.111836dB
Iteration 45, Objective: 0.111604dB, Best: 0.111604dB
Iteration 46, Objective: 0.111260dB, Best: 0.111260dB
Iteration 47, Objective: 0.110767dB, Best: 0.110767dB
Iteration 48, Objective: 0.110188dB, Best: 0.110188dB
Iteration 49, Objective: 0.109591dB, Best: 0.109591dB
Iteration 50, Objective: 0.109095dB, Best: 0.109095dB
Iteration 51, Objective: 0.107809dB, Best: 0.107809dB
Iteration 52, Objective: 0.107175dB, Best: 0.107175dB
Iteration 53, Objective: 0.106580dB, Best: 0.106580dB
Iteration 54, Objective: 0.106156dB, Best: 0.106156dB
Iteration 55, Objective: 0.105775dB, Best: 0.105775dB
Iteration 56, Objective: 0.104778dB, Best: 0.104778dB
Iteration 57, Objective: 0.104115dB, Best: 0.104115dB
Iteration 58, Objective: 0.103674dB, Best: 0.103674dB
Iteration 59, Objective: 0.103121dB, Best: 0.103121dB
Iteration 60, Objective: 0.102977dB, Best: 0.102977dB
Iteration 61, Objective: 0.102580dB, Best: 0.102580dB
Iteration 62, Objective: 0.102007dB, Best: 0.102007dB
Iteration 63, Objective: 0.101688dB, Best: 0.101688dB
Iteration 64, Objective: 0.101309dB, Best: 0.101309dB
Iteration 65, Objective: 0.100927dB, Best: 0.100927dB
Iteration 66, Objective: 0.100804dB, Best: 0.100804dB
Iteration 67, Objective: 0.099949dB, Best: 0.099949dB
Iteration 68, Objective: 0.099256dB, Best: 0.099256dB
Iteration 69, Objective: 0.099040dB, Best: 0.099040dB
Iteration 70, Objective: 0.098772dB, Best: 0.098772dB
Iteration 71, Objective: 0.098505dB, Best: 0.098505dB
Iteration 72, Objective: 0.097792dB, Best: 0.097792dB
Iteration 73, Objective: 0.097528dB, Best: 0.097528dB
Iteration 74, Objective: 0.097160dB, Best: 0.097160dB
Iteration 75, Objective: 0.096646dB, Best: 0.096646dB
Iteration 76, Objective: 0.096332dB, Best: 0.096332dB
Iteration 77, Objective: 0.095583dB, Best: 0.095583dB
Iteration 78, Objective: 0.094337dB, Best: 0.094337dB
Iteration 79, Objective: 0.093394dB, Best: 0.093394dB
Iteration 80, Objective: 0.093342dB, Best: 0.093342dB
Iteration 81, Objective: 0.092466dB, Best: 0.092466dB
Iteration 82, Objective: 0.092141dB, Best: 0.092141dB
Iteration 83, Objective: 0.091309dB, Best: 0.091309dB
Iteration 84, Objective: 0.090902dB, Best: 0.090902dB
Iteration 85, Objective: 0.090755dB, Best: 0.090755dB
Iteration 86, Objective: 0.090598dB, Best: 0.090598dB
Iteration 87, Objective: 0.090577dB, Best: 0.090577dB
Iteration 88, Objective: 0.090168dB, Best: 0.090168dB
Iteration 89, Objective: 0.089932dB, Best: 0.089932dB
Iteration 90, Objective: 0.089697dB, Best: 0.089697dB
Iteration 91, Objective: 0.089399dB, Best: 0.089399dB
Iteration 92, Objective: 0.089141dB, Best: 0.089141dB
Iteration 93, Objective: 0.088841dB, Best: 0.088841dB
Iteration 94, Objective: 0.088671dB, Best: 0.088671dB
Iteration 95, Objective: 0.088384dB, Best: 0.088384dB
Iteration 96, Objective: 0.088179dB, Best: 0.088179dB
Iteration 97, Objective: 0.087840dB, Best: 0.087840dB
Iteration 98, Objective: 0.087675dB, Best: 0.087675dB
Iteration 99, Objective: 0.087505dB, Best: 0.087505dB
Iteration 100, Objective: 0.087105dB, Best: 0.087105dB
Iteration 101, Objective: 0.086600dB, Best: 0.086600dB
Iteration 102, Objective: 0.085868dB, Best: 0.085868dB
Iteration 103, Objective: 0.085602dB, Best: 0.085602dB
Iteration 104, Objective: 0.085177dB, Best: 0.085177dB
Iteration 105, Objective: 0.084243dB, Best: 0.084243dB
Iteration 106, Objective: 0.083490dB, Best: 0.083490dB
Iteration 107, Objective: 0.083342dB, Best: 0.083342dB
Iteration 108, Objective: 0.083005dB, Best: 0.083005dB
Iteration 109, Objective: 0.082558dB, Best: 0.082558dB
Iteration 110, Objective: 0.082226dB, Best: 0.082226dB
Iteration 111, Objective: 0.081905dB, Best: 0.081905dB
Iteration 112, Objective: 0.081649dB, Best: 0.081649dB
Iteration 113, Objective: 0.081446dB, Best: 0.081446dB
Iteration 114, Objective: 0.081278dB, Best: 0.081278dB
Iteration 115, Objective: 0.081019dB, Best: 0.081019dB
Iteration 116, Objective: 0.080720dB, Best: 0.080720dB
Iteration 117, Objective: 0.080354dB, Best: 0.080354dB
Iteration 118, Objective: 0.079801dB, Best: 0.079801dB
Iteration 119, Objective: 0.079275dB, Best: 0.079275dB
Iteration 120, Objective: 0.078966dB, Best: 0.078966dB
Iteration 121, Objective: 0.078533dB, Best: 0.078533dB
Iteration 122, Objective: 0.078215dB, Best: 0.078215dB
Iteration 123, Objective: 0.077810dB, Best: 0.077810dB
Iteration 124, Objective: 0.077666dB, Best: 0.077666dB
Iteration 125, Objective: 0.077474dB, Best: 0.077474dB
Iteration 126, Objective: 0.077263dB, Best: 0.077263dB
Iteration 127, Objective: 0.077095dB, Best: 0.077095dB
Iteration 128, Objective: 0.076907dB, Best: 0.076907dB
Iteration 129, Objective: 0.076479dB, Best: 0.076479dB
Iteration 130, Objective: 0.076279dB, Best: 0.076279dB
Iteration 131, Objective: 0.076135dB, Best: 0.076135dB
Iteration 132, Objective: 0.075671dB, Best: 0.075671dB
Iteration 133, Objective: 0.075345dB, Best: 0.075345dB
Iteration 134, Objective: 0.075015dB, Best: 0.075015dB
Iteration 135, Objective: 0.074613dB, Best: 0.074613dB
Iteration 136, Objective: 0.074347dB, Best: 0.074347dB
Iteration 137, Objective: 0.073861dB, Best: 0.073861dB
Iteration 138, Objective: 0.073639dB, Best: 0.073639dB
Iteration 139, Objective: 0.073414dB, Best: 0.073414dB
Iteration 140, Objective: 0.073123dB, Best: 0.073123dB
Iteration 141, Objective: 0.072896dB, Best: 0.072896dB
Iteration 142, Objective: 0.072875dB, Best: 0.072875dB
Iteration 143, Objective: 0.072314dB, Best: 0.072314dB
Iteration 144, Objective: 0.072160dB, Best: 0.072160dB
Iteration 145, Objective: 0.072034dB, Best: 0.072034dB
Iteration 146, Objective: 0.071667dB, Best: 0.071667dB
Iteration 147, Objective: 0.071465dB, Best: 0.071465dB
Iteration 148, Objective: 0.071191dB, Best: 0.071191dB
Iteration 149, Objective: 0.070997dB, Best: 0.070997dB
Iteration 150, Objective: 0.070554dB, Best: 0.070554dB
Iteration 151, Objective: 0.070039dB, Best: 0.070039dB
Iteration 152, Objective: 0.069923dB, Best: 0.069923dB
Iteration 153, Objective: 0.069806dB, Best: 0.069806dB
Iteration 154, Objective: 0.069797dB, Best: 0.069797dB
Iteration 155, Objective: 0.069377dB, Best: 0.069377dB
Iteration 156, Objective: 0.069112dB, Best: 0.069112dB
Iteration 157, Objective: 0.069017dB, Best: 0.069017dB
Iteration 158, Objective: 0.068705dB, Best: 0.068705dB
Iteration 159, Objective: 0.068658dB, Best: 0.068658dB
Iteration 160, Objective: 0.068376dB, Best: 0.068376dB
Iteration 161, Objective: 0.068193dB, Best: 0.068193dB
Iteration 162, Objective: 0.068052dB, Best: 0.068052dB
Iteration 163, Objective: 0.067905dB, Best: 0.067905dB
Iteration 164, Objective: 0.067726dB, Best: 0.067726dB
Iteration 165, Objective: 0.067581dB, Best: 0.067581dB
