Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 3.521441dB, Best: 3.521441dB
Iteration 2, Objective: 2.016937dB, Best: 2.016937dB
Iteration 3, Objective: 1.626880dB, Best: 1.626880dB
Iteration 4, Objective: 1.337907dB, Best: 1.337907dB
Iteration 5, Objective: 1.307573dB, Best: 1.307573dB
Iteration 6, Objective: 0.981622dB, Best: 0.981622dB
Iteration 7, Objective: 0.937434dB, Best: 0.937434dB
Iteration 8, Objective: 0.806059dB, Best: 0.806059dB
Iteration 9, Objective: 0.742052dB, Best: 0.742052dB
Iteration 10, Objective: 0.719660dB, Best: 0.719660dB
Iteration 11, Objective: 0.646447dB, Best: 0.646447dB
Iteration 12, Objective: 0.550221dB, Best: 0.550221dB
Iteration 13, Objective: 0.540821dB, Best: 0.540821dB
Iteration 14, Objective: 0.488433dB, Best: 0.488433dB
Iteration 15, Objective: 0.426411dB, Best: 0.426411dB
Iteration 16, Objective: 0.407063dB, Best: 0.407063dB
Iteration 17, Objective: 0.372725dB, Best: 0.372725dB
Iteration 18, Objective: 0.366793dB, Best: 0.366793dB
Iteration 19, Objective: 0.340798dB, Best: 0.340798dB
Iteration 20, Objective: 0.320553dB, Best: 0.320553dB
Iteration 21, Objective: 0.315982dB, Best: 0.315982dB
Iteration 22, Objective: 0.303289dB, Best: 0.303289dB
Iteration 23, Objective: 0.295093dB, Best: 0.295093dB
Iteration 24, Objective: 0.283980dB, Best: 0.283980dB
Iteration 25, Objective: 0.282268dB, Best: 0.282268dB
Iteration 26, Objective: 0.270944dB, Best: 0.270944dB
Iteration 27, Objective: 0.258457dB, Best: 0.258457dB
Iteration 28, Objective: 0.257142dB, Best: 0.257142dB
Iteration 29, Objective: 0.250737dB, Best: 0.250737dB
Iteration 30, Objective: 0.244671dB, Best: 0.244671dB
Iteration 31, Objective: 0.237870dB, Best: 0.237870dB
