Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.393897dB, Best: 1.393897dB
Iteration 2, Objective: 1.356049dB, Best: 1.356049dB
Iteration 3, Objective: 0.703042dB, Best: 0.703042dB
Iteration 4, Objective: 0.564579dB, Best: 0.564579dB
Iteration 5, Objective: 0.469984dB, Best: 0.469984dB
Iteration 6, Objective: 0.382059dB, Best: 0.382059dB
Iteration 7, Objective: 0.346854dB, Best: 0.346854dB
Iteration 8, Objective: 0.298674dB, Best: 0.298674dB
Iteration 9, Objective: 0.256434dB, Best: 0.256434dB
Iteration 10, Objective: 0.251196dB, Best: 0.251196dB
Iteration 11, Objective: 0.223864dB, Best: 0.223864dB
Iteration 12, Objective: 0.215104dB, Best: 0.215104dB
Iteration 13, Objective: 0.192698dB, Best: 0.192698dB
Iteration 14, Objective: 0.183915dB, Best: 0.183915dB
Iteration 15, Objective: 0.174211dB, Best: 0.174211dB
Iteration 16, Objective: 0.167835dB, Best: 0.167835dB
Iteration 17, Objective: 0.162398dB, Best: 0.162398dB
Iteration 18, Objective: 0.154729dB, Best: 0.154729dB
Iteration 19, Objective: 0.151908dB, Best: 0.151908dB
Iteration 20, Objective: 0.147978dB, Best: 0.147978dB
Iteration 21, Objective: 0.141443dB, Best: 0.141443dB
Iteration 22, Objective: 0.134221dB, Best: 0.134221dB
Iteration 23, Objective: 0.132744dB, Best: 0.132744dB
Iteration 24, Objective: 0.127072dB, Best: 0.127072dB
Iteration 25, Objective: 0.124573dB, Best: 0.124573dB
Iteration 26, Objective: 0.122003dB, Best: 0.122003dB
Iteration 27, Objective: 0.119807dB, Best: 0.119807dB
Iteration 28, Objective: 0.117949dB, Best: 0.117949dB
Iteration 29, Objective: 0.114989dB, Best: 0.114989dB
Iteration 30, Objective: 0.112974dB, Best: 0.112974dB
Iteration 31, Objective: 0.111799dB, Best: 0.111799dB
Iteration 32, Objective: 0.110889dB, Best: 0.110889dB
Iteration 33, Objective: 0.109232dB, Best: 0.109232dB
Iteration 34, Objective: 0.109062dB, Best: 0.109062dB
Iteration 35, Objective: 0.105231dB, Best: 0.105231dB
Iteration 36, Objective: 0.102603dB, Best: 0.102603dB
Iteration 37, Objective: 0.100730dB, Best: 0.100730dB
Iteration 38, Objective: 0.099576dB, Best: 0.099576dB
Iteration 39, Objective: 0.098839dB, Best: 0.098839dB
Iteration 40, Objective: 0.097729dB, Best: 0.097729dB
Iteration 41, Objective: 0.096567dB, Best: 0.096567dB
Iteration 42, Objective: 0.096098dB, Best: 0.096098dB
Iteration 43, Objective: 0.095635dB, Best: 0.095635dB
Iteration 44, Objective: 0.095508dB, Best: 0.095508dB
Iteration 45, Objective: 0.095286dB, Best: 0.095286dB
Iteration 46, Objective: 0.095119dB, Best: 0.095119dB
Iteration 47, Objective: 0.094909dB, Best: 0.094909dB
Iteration 48, Objective: 0.094270dB, Best: 0.094270dB
Iteration 49, Objective: 0.093792dB, Best: 0.093792dB
Iteration 50, Objective: 0.093332dB, Best: 0.093332dB
Iteration 51, Objective: 0.093164dB, Best: 0.093164dB
Iteration 52, Objective: 0.092919dB, Best: 0.092919dB
Iteration 53, Objective: 0.092617dB, Best: 0.092617dB
Iteration 54, Objective: 0.092054dB, Best: 0.092054dB
Iteration 55, Objective: 0.091719dB, Best: 0.091719dB
Iteration 56, Objective: 0.091628dB, Best: 0.091628dB
Iteration 57, Objective: 0.091597dB, Best: 0.091597dB
Iteration 58, Objective: 0.091596dB, Best: 0.091596dB
Iteration 59, Objective: 0.091507dB, Best: 0.091507dB
Iteration 60, Objective: 0.091422dB, Best: 0.091422dB
Iteration 61, Objective: 0.091261dB, Best: 0.091261dB
Iteration 62, Objective: 0.091099dB, Best: 0.091099dB
Iteration 63, Objective: 0.090789dB, Best: 0.090789dB
Iteration 64, Objective: 0.090596dB, Best: 0.090596dB
Iteration 65, Objective: 0.090326dB, Best: 0.090326dB
Iteration 66, Objective: 0.090132dB, Best: 0.090132dB
Iteration 67, Objective: 0.089857dB, Best: 0.089857dB
Iteration 68, Objective: 0.089673dB, Best: 0.089673dB
