Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.326462dB, Best: 1.326462dB
Iteration 2, Objective: 1.252831dB, Best: 1.252831dB
Iteration 3, Objective: 0.893289dB, Best: 0.893289dB
Iteration 4, Objective: 0.644018dB, Best: 0.644018dB
Iteration 5, Objective: 0.564097dB, Best: 0.564097dB
Iteration 6, Objective: 0.404674dB, Best: 0.404674dB
Iteration 7, Objective: 0.342515dB, Best: 0.342515dB
Iteration 8, Objective: 0.295968dB, Best: 0.295968dB
Iteration 9, Objective: 0.265161dB, Best: 0.265161dB
Iteration 10, Objective: 0.233622dB, Best: 0.233622dB
Iteration 11, Objective: 0.215326dB, Best: 0.215326dB
Iteration 12, Objective: 0.189796dB, Best: 0.189796dB
Iteration 13, Objective: 0.185922dB, Best: 0.185922dB
Iteration 14, Objective: 0.169605dB, Best: 0.169605dB
Iteration 15, Objective: 0.161184dB, Best: 0.161184dB
Iteration 16, Objective: 0.160315dB, Best: 0.160315dB
Iteration 17, Objective: 0.153696dB, Best: 0.153696dB
Iteration 18, Objective: 0.148118dB, Best: 0.148118dB
Iteration 19, Objective: 0.143303dB, Best: 0.143303dB
Iteration 20, Objective: 0.140721dB, Best: 0.140721dB
Iteration 21, Objective: 0.132833dB, Best: 0.132833dB
Iteration 22, Objective: 0.130991dB, Best: 0.130991dB
Iteration 23, Objective: 0.129739dB, Best: 0.129739dB
Iteration 24, Objective: 0.127903dB, Best: 0.127903dB
Iteration 25, Objective: 0.126222dB, Best: 0.126222dB
Iteration 26, Objective: 0.123267dB, Best: 0.123267dB
Iteration 27, Objective: 0.122554dB, Best: 0.122554dB
Iteration 28, Objective: 0.116751dB, Best: 0.116751dB
Iteration 29, Objective: 0.114780dB, Best: 0.114780dB
Iteration 30, Objective: 0.113312dB, Best: 0.113312dB
Iteration 31, Objective: 0.111116dB, Best: 0.111116dB
Iteration 32, Objective: 0.107917dB, Best: 0.107917dB
Iteration 33, Objective: 0.103768dB, Best: 0.103768dB
Iteration 34, Objective: 0.103289dB, Best: 0.103289dB
Iteration 35, Objective: 0.101722dB, Best: 0.101722dB
Iteration 36, Objective: 0.099958dB, Best: 0.099958dB
Iteration 37, Objective: 0.099371dB, Best: 0.099371dB
Iteration 38, Objective: 0.098500dB, Best: 0.098500dB
Iteration 39, Objective: 0.097962dB, Best: 0.097962dB
Iteration 40, Objective: 0.096723dB, Best: 0.096723dB
Iteration 41, Objective: 0.095733dB, Best: 0.095733dB
Iteration 42, Objective: 0.094996dB, Best: 0.094996dB
Iteration 43, Objective: 0.094466dB, Best: 0.094466dB
Iteration 44, Objective: 0.094018dB, Best: 0.094018dB
Iteration 45, Objective: 0.093587dB, Best: 0.093587dB
Iteration 46, Objective: 0.093443dB, Best: 0.093443dB
Iteration 47, Objective: 0.093164dB, Best: 0.093164dB
Iteration 48, Objective: 0.092813dB, Best: 0.092813dB
Iteration 49, Objective: 0.092547dB, Best: 0.092547dB
Iteration 50, Objective: 0.092271dB, Best: 0.092271dB
