Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.259513dB, Best: 1.259513dB
Iteration 2, Objective: 1.183868dB, Best: 1.183868dB
Iteration 3, Objective: 0.874117dB, Best: 0.874117dB
Iteration 4, Objective: 0.635256dB, Best: 0.635256dB
Iteration 5, Objective: 0.584802dB, Best: 0.584802dB
Iteration 6, Objective: 0.438483dB, Best: 0.438483dB
Iteration 7, Objective: 0.381701dB, Best: 0.381701dB
Iteration 8, Objective: 0.319279dB, Best: 0.319279dB
Iteration 9, Objective: 0.291362dB, Best: 0.291362dB
Iteration 10, Objective: 0.245027dB, Best: 0.245027dB
Iteration 11, Objective: 0.237745dB, Best: 0.237745dB
Iteration 12, Objective: 0.203786dB, Best: 0.203786dB
Iteration 13, Objective: 0.192448dB, Best: 0.192448dB
Iteration 14, Objective: 0.179296dB, Best: 0.179296dB
Iteration 15, Objective: 0.167021dB, Best: 0.167021dB
Iteration 16, Objective: 0.164231dB, Best: 0.164231dB
Iteration 17, Objective: 0.156074dB, Best: 0.156074dB
Iteration 18, Objective: 0.149451dB, Best: 0.149451dB
Iteration 19, Objective: 0.144694dB, Best: 0.144694dB
Iteration 20, Objective: 0.135495dB, Best: 0.135495dB
Iteration 21, Objective: 0.133342dB, Best: 0.133342dB
Iteration 22, Objective: 0.128542dB, Best: 0.128542dB
Iteration 23, Objective: 0.127460dB, Best: 0.127460dB
Iteration 24, Objective: 0.125362dB, Best: 0.125362dB
Iteration 25, Objective: 0.121604dB, Best: 0.121604dB
Iteration 26, Objective: 0.119357dB, Best: 0.119357dB
Iteration 27, Objective: 0.115554dB, Best: 0.115554dB
Iteration 28, Objective: 0.115530dB, Best: 0.115530dB
Iteration 29, Objective: 0.113496dB, Best: 0.113496dB
Iteration 30, Objective: 0.110071dB, Best: 0.110071dB
Iteration 31, Objective: 0.109673dB, Best: 0.109673dB
Iteration 32, Objective: 0.108892dB, Best: 0.108892dB
Iteration 33, Objective: 0.107136dB, Best: 0.107136dB
Iteration 34, Objective: 0.106366dB, Best: 0.106366dB
Iteration 35, Objective: 0.105406dB, Best: 0.105406dB
Iteration 36, Objective: 0.104417dB, Best: 0.104417dB
Iteration 37, Objective: 0.103991dB, Best: 0.103991dB
Iteration 38, Objective: 0.103589dB, Best: 0.103589dB
Iteration 39, Objective: 0.102450dB, Best: 0.102450dB
Iteration 40, Objective: 0.100736dB, Best: 0.100736dB
Iteration 41, Objective: 0.099975dB, Best: 0.099975dB
Iteration 42, Objective: 0.098750dB, Best: 0.098750dB
Iteration 43, Objective: 0.098342dB, Best: 0.098342dB
Iteration 44, Objective: 0.097672dB, Best: 0.097672dB
Iteration 45, Objective: 0.097375dB, Best: 0.097375dB
Iteration 46, Objective: 0.096554dB, Best: 0.096554dB
Iteration 47, Objective: 0.096121dB, Best: 0.096121dB
Iteration 48, Objective: 0.095712dB, Best: 0.095712dB
Iteration 49, Objective: 0.095631dB, Best: 0.095631dB
Iteration 50, Objective: 0.095349dB, Best: 0.095349dB
Iteration 51, Objective: 0.094903dB, Best: 0.094903dB
Iteration 52, Objective: 0.094679dB, Best: 0.094679dB
Iteration 53, Objective: 0.094644dB, Best: 0.094644dB
Iteration 54, Objective: 0.094309dB, Best: 0.094309dB
Iteration 55, Objective: 0.093754dB, Best: 0.093754dB
Iteration 56, Objective: 0.093309dB, Best: 0.093309dB
Iteration 57, Objective: 0.093112dB, Best: 0.093112dB
Iteration 58, Objective: 0.092766dB, Best: 0.092766dB
Iteration 59, Objective: 0.092371dB, Best: 0.092371dB
Iteration 60, Objective: 0.092118dB, Best: 0.092118dB
Iteration 61, Objective: 0.091930dB, Best: 0.091930dB
Iteration 62, Objective: 0.091671dB, Best: 0.091671dB
Iteration 63, Objective: 0.090939dB, Best: 0.090939dB
Iteration 64, Objective: 0.090602dB, Best: 0.090602dB
Iteration 65, Objective: 0.090217dB, Best: 0.090217dB
Iteration 66, Objective: 0.089839dB, Best: 0.089839dB
Iteration 67, Objective: 0.089478dB, Best: 0.089478dB
Iteration 68, Objective: 0.089085dB, Best: 0.089085dB
Iteration 69, Objective: 0.088761dB, Best: 0.088761dB
Iteration 70, Objective: 0.088133dB, Best: 0.088133dB
Iteration 71, Objective: 0.087597dB, Best: 0.087597dB
Iteration 72, Objective: 0.087306dB, Best: 0.087306dB
Iteration 73, Objective: 0.086415dB, Best: 0.086415dB
Iteration 74, Objective: 0.085781dB, Best: 0.085781dB
Iteration 75, Objective: 0.084411dB, Best: 0.084411dB
Iteration 76, Objective: 0.084230dB, Best: 0.084230dB
Iteration 77, Objective: 0.083532dB, Best: 0.083532dB
Iteration 78, Objective: 0.083169dB, Best: 0.083169dB
Iteration 79, Objective: 0.082424dB, Best: 0.082424dB
Iteration 80, Objective: 0.081671dB, Best: 0.081671dB
Iteration 81, Objective: 0.080808dB, Best: 0.080808dB
Iteration 82, Objective: 0.080457dB, Best: 0.080457dB
Iteration 83, Objective: 0.080085dB, Best: 0.080085dB
Iteration 84, Objective: 0.079699dB, Best: 0.079699dB
Iteration 85, Objective: 0.079436dB, Best: 0.079436dB
Iteration 86, Objective: 0.079256dB, Best: 0.079256dB
Iteration 87, Objective: 0.079004dB, Best: 0.079004dB
Iteration 88, Objective: 0.078848dB, Best: 0.078848dB
Iteration 89, Objective: 0.078626dB, Best: 0.078626dB
Iteration 90, Objective: 0.078520dB, Best: 0.078520dB
Iteration 91, Objective: 0.078035dB, Best: 0.078035dB
Iteration 92, Objective: 0.077703dB, Best: 0.077703dB
Iteration 93, Objective: 0.077397dB, Best: 0.077397dB
Iteration 94, Objective: 0.077120dB, Best: 0.077120dB
Iteration 95, Objective: 0.076276dB, Best: 0.076276dB
Iteration 96, Objective: 0.075485dB, Best: 0.075485dB
Iteration 97, Objective: 0.075019dB, Best: 0.075019dB
Iteration 98, Objective: 0.074976dB, Best: 0.074976dB
Iteration 99, Objective: 0.074249dB, Best: 0.074249dB
Iteration 100, Objective: 0.073622dB, Best: 0.073622dB
Iteration 101, Objective: 0.073381dB, Best: 0.073381dB
Iteration 102, Objective: 0.073163dB, Best: 0.073163dB
Iteration 103, Objective: 0.072909dB, Best: 0.072909dB
Iteration 104, Objective: 0.072641dB, Best: 0.072641dB
Iteration 105, Objective: 0.072458dB, Best: 0.072458dB
Iteration 106, Objective: 0.071864dB, Best: 0.071864dB
Iteration 107, Objective: 0.071811dB, Best: 0.071811dB
Iteration 108, Objective: 0.071349dB, Best: 0.071349dB
Iteration 109, Objective: 0.070956dB, Best: 0.070956dB
Iteration 110, Objective: 0.070738dB, Best: 0.070738dB
Iteration 111, Objective: 0.070401dB, Best: 0.070401dB
Iteration 112, Objective: 0.070100dB, Best: 0.070100dB
Iteration 113, Objective: 0.069592dB, Best: 0.069592dB
Iteration 114, Objective: 0.069448dB, Best: 0.069448dB
Iteration 115, Objective: 0.069247dB, Best: 0.069247dB
Iteration 116, Objective: 0.068750dB, Best: 0.068750dB
Iteration 117, Objective: 0.068613dB, Best: 0.068613dB
Iteration 118, Objective: 0.068459dB, Best: 0.068459dB
Iteration 119, Objective: 0.068367dB, Best: 0.068367dB
Iteration 120, Objective: 0.068171dB, Best: 0.068171dB
Iteration 121, Objective: 0.068019dB, Best: 0.068019dB
Iteration 122, Objective: 0.067785dB, Best: 0.067785dB
Iteration 123, Objective: 0.067452dB, Best: 0.067452dB
Iteration 124, Objective: 0.067183dB, Best: 0.067183dB
Iteration 125, Objective: 0.067170dB, Best: 0.067170dB
Iteration 126, Objective: 0.066777dB, Best: 0.066777dB
Iteration 127, Objective: 0.066564dB, Best: 0.066564dB
Iteration 128, Objective: 0.066360dB, Best: 0.066360dB
Iteration 129, Objective: 0.066168dB, Best: 0.066168dB
