Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 1, Objective: 1.372579dB, Best: 1.372579dB
Iteration 2, Objective: 1.295670dB, Best: 1.295670dB
Iteration 3, Objective: 0.906214dB, Best: 0.906214dB
Iteration 4, Objective: 0.692670dB, Best: 0.692670dB
Iteration 5, Objective: 0.596196dB, Best: 0.596196dB
Iteration 6, Objective: 0.419047dB, Best: 0.419047dB
Iteration 7, Objective: 0.411069dB, Best: 0.411069dB
Iteration 8, Objective: 0.324168dB, Best: 0.324168dB
Iteration 9, Objective: 0.304694dB, Best: 0.304694dB
Iteration 10, Objective: 0.276236dB, Best: 0.276236dB
Iteration 11, Objective: 0.260089dB, Best: 0.260089dB
Iteration 12, Objective: 0.228899dB, Best: 0.228899dB
Iteration 13, Objective: 0.220258dB, Best: 0.220258dB
Iteration 14, Objective: 0.209058dB, Best: 0.209058dB
Iteration 15, Objective: 0.204302dB, Best: 0.204302dB
Iteration 16, Objective: 0.189822dB, Best: 0.189822dB
Iteration 17, Objective: 0.186370dB, Best: 0.186370dB
Iteration 18, Objective: 0.178783dB, Best: 0.178783dB
Iteration 19, Objective: 0.173116dB, Best: 0.173116dB
Iteration 20, Objective: 0.167872dB, Best: 0.167872dB
Iteration 21, Objective: 0.166091dB, Best: 0.166091dB
Iteration 22, Objective: 0.161857dB, Best: 0.161857dB
Iteration 23, Objective: 0.156564dB, Best: 0.156564dB
Iteration 24, Objective: 0.154015dB, Best: 0.154015dB
Iteration 25, Objective: 0.152849dB, Best: 0.152849dB
Iteration 26, Objective: 0.149176dB, Best: 0.149176dB
Iteration 27, Objective: 0.148402dB, Best: 0.148402dB
Iteration 28, Objective: 0.146789dB, Best: 0.146789dB
Iteration 29, Objective: 0.145826dB, Best: 0.145826dB
Iteration 30, Objective: 0.144181dB, Best: 0.144181dB
Iteration 31, Objective: 0.141133dB, Best: 0.141133dB
Iteration 32, Objective: 0.140381dB, Best: 0.140381dB
Iteration 33, Objective: 0.139413dB, Best: 0.139413dB
Iteration 34, Objective: 0.138550dB, Best: 0.138550dB
Iteration 35, Objective: 0.136812dB, Best: 0.136812dB
Iteration 36, Objective: 0.135498dB, Best: 0.135498dB
Iteration 37, Objective: 0.133752dB, Best: 0.133752dB
Iteration 38, Objective: 0.130819dB, Best: 0.130819dB
Iteration 39, Objective: 0.128464dB, Best: 0.128464dB
Iteration 40, Objective: 0.127544dB, Best: 0.127544dB
Iteration 41, Objective: 0.125148dB, Best: 0.125148dB
Iteration 42, Objective: 0.125124dB, Best: 0.125124dB
Iteration 43, Objective: 0.121912dB, Best: 0.121912dB
Iteration 44, Objective: 0.119973dB, Best: 0.119973dB
Iteration 45, Objective: 0.118495dB, Best: 0.118495dB
Iteration 46, Objective: 0.115674dB, Best: 0.115674dB
Iteration 47, Objective: 0.115051dB, Best: 0.115051dB
Iteration 48, Objective: 0.113806dB, Best: 0.113806dB
Iteration 49, Objective: 0.112163dB, Best: 0.112163dB
Iteration 50, Objective: 0.110312dB, Best: 0.110312dB
Iteration 51, Objective: 0.109075dB, Best: 0.109075dB
Iteration 52, Objective: 0.106479dB, Best: 0.106479dB
Iteration 53, Objective: 0.104975dB, Best: 0.104975dB
Iteration 54, Objective: 0.103735dB, Best: 0.103735dB
Iteration 55, Objective: 0.101232dB, Best: 0.101232dB
Iteration 56, Objective: 0.100307dB, Best: 0.100307dB
Iteration 57, Objective: 0.099076dB, Best: 0.099076dB
Iteration 58, Objective: 0.097326dB, Best: 0.097326dB
Iteration 59, Objective: 0.096734dB, Best: 0.096734dB
Iteration 60, Objective: 0.095579dB, Best: 0.095579dB
Iteration 61, Objective: 0.095456dB, Best: 0.095456dB
Iteration 62, Objective: 0.094012dB, Best: 0.094012dB
Iteration 63, Objective: 0.092775dB, Best: 0.092775dB
Iteration 64, Objective: 0.091665dB, Best: 0.091665dB
Iteration 65, Objective: 0.091068dB, Best: 0.091068dB
Iteration 66, Objective: 0.090006dB, Best: 0.090006dB
Iteration 67, Objective: 0.088088dB, Best: 0.088088dB
Iteration 68, Objective: 0.087293dB, Best: 0.087293dB
Iteration 69, Objective: 0.086160dB, Best: 0.086160dB
Iteration 70, Objective: 0.083468dB, Best: 0.083468dB
Iteration 71, Objective: 0.082524dB, Best: 0.082524dB
Iteration 72, Objective: 0.080909dB, Best: 0.080909dB
Iteration 73, Objective: 0.079908dB, Best: 0.079908dB
